店名,住所,台数
アピタ鈴鹿,三重県鈴鹿市南玉垣町３６２８　玩具売場,0台
モーリーファンタジー鈴鹿,三重県鈴鹿市算所２−５−１,0台
アピタ松阪三雲,三重県松阪市市場庄町１２６６番地の１　玩具売場,0台
モーリーファンタジー松阪,三重県松阪市船江町１３９２−２７マーム３Ｆ,0台
ＰＡＬＯ桑名,三重県桑名市新西方１丁目２２番地,0台
ドナリアコットサンズ,三重県鈴鹿市白子駅前９−２０サンズ店内３Ｆ,0台
イオン伊勢,三重県伊勢市楠部町乙１６０−２玩具売場,0台
イオン白子,三重県鈴鹿市白子駅前９−２０玩具売場,0台
ＮＯＳＩＣＡ桑名,三重県桑名市新西方１丁目２２番地イオンモール桑名２番街２階,0台
ピアゴ星川,三重県桑名市星川字十二８３５玩具売場,0台
モーリーファンタジーイオン鈴鹿,三重県鈴鹿市庄野羽山４−１−２　イオン２Ｆ,0台
モーリーファンタジー四日市北,三重県四日市市富州原町２−４０イオン２Ｆ,0台
モーリーファンタジー明和,三重県多気郡明和町中村長波賀１２２３番地イオン２Ｆ,0台
モーリーファンタジー津城山,三重県津市久居小野辺町１１３０−７イオンタウン２Ｆ,0台
アピタ桑名,三重県桑名市中央町三丁目２１番地　玩具売場,0台
アピタ名張,三重県名張市下比奈知黒田３１００番地の１　玩具売場,0台
アピタ伊賀上野,三重県上野市服部町１７８８番地　玩具売場,0台
トイザらス津,三重県津市藤方９８５−１,0台
ＮＩＣＯＰＡイオン津,三重県津市桜橋３−４４６　イオン津店　２Ｆ,0台
四日市アミューズメントパーク,三重県四日市市安島１−３−３１　ララスクエア５Ｆ,0台
ＮＩＣＯＰＡイオン伊勢,三重県伊勢市楠部町乙１６０　イオン伊勢店,0台
ピアゴ嬉野,三重県松阪市嬉野中川新町４丁目２０５番地　玩具売場,0台
ピアゴ上地,三重県伊勢市上地町字川西３１１８番地１　玩具売場,0台
アピタ四日市,三重県四日市市安島１丁目３番３１号　玩具売場,0台
ＮＩＣＯＰＡ四日市北,三重県四日市市富州原町２−４０　イオン四日市北店,0台
ピアゴ阿倉川,三重県四日市市阿倉川町１５番２７号　玩具売場,0台
セガワールド久居,三重県津市久居明神町字風早２５３４−１,0台
アピナ鈴鹿,三重県鈴鹿市庄野羽山４−２０−１　イオンタウン鈴鹿２階,0台
モーリーファンタジー伊賀上野,三重県伊賀市上野茅町２５１９イオン２Ｆ,0台
モーリーファンタジー桑名,三重県桑名市新西方１丁目２２番地イオン桑名ＳＣ１番街３階,0台
モーリーファンタジー四日市尾平,三重県四日市市尾平町字天王川原１８０５　イオン３Ｆ,0台
モーリーファンタジー伊勢ララパーク,三重県伊勢市小木町曽弥５３８イオンタウン伊勢ララパーク２Ｆ,0台
モーリーファンタジー阿児,三重県志摩市阿児町鵜方３２１５イオン２Ｆ,0台
モーリーファンタジー東員,三重県員弁郡東員町長深字築田５１０番地１　イオン３Ｆ,0台
イオン四日市尾平,三重県四日市市尾平町字天王川原１８０５玩具売場,0台
イオン四日市北,三重県四日市市富州原町２−４０,0台
イオン明和,三重県多気郡明和町中村１２２３玩具売場,0台
イオン鈴鹿,三重県鈴鹿市庄野羽山４−１−２　イオン２Ｆ玩具売場,0台
モーリーファンタジー大安,三重県いなべ市大安町高柳１９４５,0台
仔熊近鉄百貨店四日市,三重県四日市市諏訪栄町７−３４近鉄百貨店四日市店６階玩具売り場,0台
ＣＬＵＢＳＥＧＡアドバンスモール松阪,三重県松阪市田村町２３５−１,0台
ヨシヅヤ員弁,三重県いなべ市員弁町石仏１９０２−２,0台
ハローズガーデン鈴鹿,三重県鈴鹿市南玉垣町３６２８アピタ鈴鹿店２Ｆ,0台
イオン大安,三重県いなべ市大安町高柳１９４５玩具売場,0台
ピアゴ東員,三重県員弁郡東員町六杷野新田字村西７８５番地６　玩具売場,0台
ピアゴ菰野,三重県三重郡菰野町大字竹成字高原３９９８番地の７　玩具売場,0台
