店名,住所,台数
ＡＧスクエア佐賀武雄,佐賀県武雄市武雄町大字富岡１２５１７−１,0台
ポップンパーク佐賀,佐賀県佐賀市東与賀町大字下古賀字一本杉８７番地１,0台
イオンスーパーセンター佐賀,佐賀県佐賀市東与賀町大字下古賀字一本杉８７−１　玩具売場,0台
イオン佐賀大和,佐賀県佐賀市大和町大字尼寺３５３５番　玩具売場,0台
イオン上峰,佐賀県三養基郡上峰町大字坊所１５５１−１　玩具売場,0台
イオン江北,佐賀県杵島郡江北町大字山口三本松二１２２３　玩具売場,0台
ペリカン武雄,佐賀県武雄市武雄町大字武雄４９９２ゆめタウン武雄内２Ｆ　玩具売場,0台
イオン唐津,佐賀県唐津市鏡字立神４６７１　玩具売場,0台
モーリーファンタジー佐賀大和,佐賀県佐賀市大和町大字尼寺３５３５番地　イオンモール２Ｆ,0台
モーリーファンタジー唐津,佐賀県唐津市鏡字立神４６７１イオン２Ｆ,0台
アミパラ佐賀,佐賀県佐賀市巨勢町大字牛島７３０　モラージュ佐賀南館１Ｆ,0台
あおきモラージュ佐賀,佐賀県佐賀市巨勢町大字牛島７３０モラージュ佐賀南館２Ｆ,0台
ミスターマックス唐津,佐賀県唐津市鏡３７１６,0台
ミスターマックス佐賀,佐賀県佐賀市巨勢町大字牛島７３０モラージュ佐賀内,0台
