店名,住所,台数
プラサカプコン津田沼,千葉県習志野市津田沼１-２３-１イオンモール津田沼２F,0台
モーリーファンタジー柏,千葉県柏市豊町２丁目５番２５号イオン２Ｆ,0台
鉄腕２４稲毛長沼,千葉県千葉市稲毛区長沼原町６９７,0台
モーリーファンタジー長浦,千葉県袖ヶ浦市長浦駅前１−７,0台
プレビイオン幕張,千葉県千葉市美浜区ひび野１−３　イオン幕張店内２階　プレビプレイランドコーナー,0台
トイザらス新浦安,千葉県浦安市日の出　５−１−１４,0台
レジャーランド成東,千葉県山武市姫島１１１−１,0台
イトーヨーカドー流山,千葉県流山市流山９−８００−２玩具売場,0台
キャッツアイ八千代,千葉県八千代市吉橋１８５１番地　ｉｓｍ緑が丘内,0台
イトーヨーカドー成田,千葉県成田市公津の杜４−５−３玩具売場,0台
モーリーファンタジー船橋,千葉県船橋市山手１丁目１番地８号イオン３Ｆ,0台
ＰＡＬＯ市川,千葉県市川市鬼高　１−１−１　ニッケコルトンプラザ２Ｆ,0台
ダイエー市川コルトンプラザ,千葉県市川市市川１−４−１０,0台
モーリーファンタジー銚子,千葉県銚子市三崎町２丁目２６６０−１イオン２Ｆ,0台
モーリーファンタジー八街,千葉県八街市文違３０１イオン１Ｆ,0台
モーリーファンタジーノア,千葉県野田市中根３６−１イオン１Ｆ,0台
イオン高根木戸,千葉県船橋市習志野台１−１−３玩具売場,0台
ＧＡＭＥＳＱＵＡＲＥ茂原,千葉県茂原市六ツ野八貫野２７８５−１　ライフガーデン茂原,0台
スコナランド佐原,千葉県香取市佐原ホ１２３６−１サワラシティ２Ｆ,0台
西友行徳,千葉県市川市行徳駅前１−１９−１　玩具売場,0台
イオン旭,千葉県旭市イ−２６７６玩具売場,0台
イオン成田,千葉県成田市ウイング土屋２４番地　イオン２Ｆ玩具売場,0台
らんらんらんど酒々井,千葉県印旛郡酒々井町本佐倉４５７−２,0台
モーリーファンタジー津田沼,千葉県習志野市津田沼１丁目２３番１号イオン３Ｆ,0台
モーリーファンタジー幕張新都心,千葉県千葉市美浜区豊砂１−５イオンモール（ファミリーモール）２Ｆ,0台
モーリーファンタジー木更津,千葉県木更津市築地１−４　イオン２Ｆ,0台
イトーヨーカドー姉崎,千葉県市原市姉崎６４５−１玩具売場,0台
モーリーファンタジーおゆみ野,千葉県千葉市緑区おゆみ野南５丁目３７−１イオンタウン２Ｆ,0台
こころっこ姉崎,千葉県市原市姉崎６４５−１イトーヨーカドー姉崎店内３階,0台
プラサカプコン成田,千葉県成田市ウイング土屋２４　イオンモール成田２Ｆ,0台
プラサカプコンちはら台,千葉県市原市ちはら台西３−４　ショッピングモールｕｎｉｍｏちはら台２Ｆ,0台
ＭＥＧＡドン・キホーテラパーク成東,千葉県山武市成東１８０８−１,0台
イトーヨーカドーアリオ柏,千葉県柏市大島田９５０−１,0台
タイトーステーション柏,千葉県柏市柏市柏２−３−１,0台
ＮＩＣＯＰＡ成田富里,千葉県成田市東町１３３番地　イオンタウン成田富里店２Ｆ,0台
タイトーステーションセブンパークアリオ柏,千葉県柏市大島田９５０−１,0台
モーリーファンタジー千葉ニュ−タウン,千葉県印西市中央北３丁目１番１イオン３Ｆ,0台
パレパレ稲毛長沼,千葉県千葉市稲毛区長沼原町７３１−１７,0台
ニコパマリンピア,千葉県千葉市美浜区高洲３−１３−１　　マリンピア４階,0台
トイザらス千葉長沼,千葉県千葉市稲毛区長沼町３３０−５０,0台
アピタ市原,千葉県市原市青柳北１−１　玩具売場,0台
サンファンタジー千城台,千葉県千葉市若葉区千城台北３−２１−１　ラパーク千城台３Ｆ,0台
そごう千葉,千葉県千葉市中央区新町１０００そごう　千葉店　本館　６Ｆ玩具売場,0台
ハローズガーデン市原,千葉県市原市青柳北１−１アピタ市原店２階,0台
トイザらス新鎌ヶ谷,千葉県鎌ケ谷市新鎌ケ谷２−１２−１　アクロスモール新鎌ヶ谷２Ｆ,0台
にこぱアクロスモール新鎌ヶ谷,千葉県鎌ヶ谷市初富９２８番地　アクロスモール新鎌ヶ谷２Ｆ,0台
トイザらス松戸,千葉県松戸市二ツ木１７８１−２　プチモール二ツ木２Ｆ,0台
西友常盤平,千葉県松戸市常盤平３−１１−１　玩具売場,0台
モーリーファンタジー新松戸,千葉県松戸市新松戸３−２−２,0台
ＪＯＹＦＵＬ−２千葉ニュータウン,千葉県印西市草深１９２１　玩具売場,0台
トイザらス市川,千葉県市川市鬼高１−１−１　ニッケコルトンプラザイースト館２Ｆ,0台
