店名,住所,台数
こころっこ東鷲宮,埼玉県久喜市桜田３−２−１イオン東鷲宮店内３Ｆ,0台
モーリーファンタジー浦和美園,埼玉県さいたま市緑区大門３７１０イオン３Ｆ,0台
モーリーファンタジー北戸田,埼玉県戸田市美女木東１−３−１イオン２Ｆ,0台
あひるのたまご岩槻,埼玉県さいたま市岩槻区本丸３−２０−５３　マミーマート岩槻店内　プレビプレイランドコーナー　あひるのたまご,0台
テクモピア南越谷,埼玉県越谷市南越谷１−１５−１ラクーン南越谷２Ｆ,0台
トイザらス熊谷,埼玉県熊谷市代１０６７,0台
モーリーファンタジー所沢,埼玉県所沢市東町５−２２,0台
ライフ毛呂山,埼玉県入間郡毛呂山町岩井西３丁目１２番地３４　玩具売場,0台
ハローズガーデン久喜,埼玉県久喜市中央４−９−１１イトーヨーカドー久喜店５階,0台
キャッツアイ狭山,埼玉県狭山市入間川３１４１,0台
プレイランド菖蒲,埼玉県久喜市菖蒲町菖蒲６００５番地１　モラージュ菖蒲３Ｆ,0台
モーリーファンタジー上里,埼玉県児玉郡上里町大字金久保字蓮山３５９番１イオンタウン２Ｆ,0台
モーリーファンタジー熊谷,埼玉県熊谷市本石２−１３５　イオン３Ｆ,0台
モーリーファンタジーせんげん台,埼玉県越谷市千間台西３−２−１２イオン３Ｆ,0台
モーリーファンタジーレイクタウン,埼玉県越谷市レイクタウン３丁目１番地１　イオンレイクタウンｍｏｒｉ３Ｆ,0台
モーリーファンタジー狭山,埼玉県狭山市上奥富１１２６−１イオン２Ｆ,0台
コジマ×ビックカメラ新座,埼玉県新座市野火止６−１−１０,0台
モーリーファンタジーイオン川口,埼玉県川口市安行領根岸字外谷田３１８０−１　イオン３Ｆ,0台
モーリーファンタジー大宮,埼玉県さいたま市北区櫛引町２−５７４−１　イオン３Ｆ,0台
モーリーファンタジー春日部,埼玉県春日部市下柳４２０−１イオン３Ｆ,0台
ＰＡＬＯ埼玉大井,埼玉県ふじみ野市西鶴ケ岡１丁目３番１５号ビバモール埼玉大井ショッピングセンター２Ｆ,0台
イオン新座,埼玉県新座市東北２−３２−１２玩具売場,0台
イオン北戸田,埼玉県戸田市美女木東１−３−１玩具売場,0台
イオン羽生,埼玉県羽生市川崎２−２８１−３玩具売場,0台
イオンレイクタウン,埼玉県越谷市東町２−８玩具売場,0台
アピナ上尾,埼玉県上尾市埼玉県上尾市緑丘３丁目３番１１−２号　ＰＡＰＡ上尾　プリンセス棟１階・２階,0台
ライフ吉川駅前,埼玉県吉川市保１−１３−３　玩具売場,0台
ヨークマート東岩槻,埼玉県さいたま市岩槻区諏訪５−１−１　玩具売場,0台
ヨークマート日進,埼玉県さいたま市北区日進町２−１９１６−８　玩具売場,0台
イオン春日部,埼玉県春日部市下柳４２０−１　イオン３Ｆ玩具売場,0台
スコナランド新座,埼玉県新座市中野２−１−３８　ＯＳＣデオシティ新座３Ｆ,0台
モーリーファンタジー川口前川,埼玉県川口市前川１丁目１番１１号イオン３Ｆ,0台
モーリーファンタジー川口,埼玉県川口市本町２−７−２５ミエルかわぐち３Ｆ,0台
ポップンパーク宮代キッズ店,埼玉県南埼玉郡宮代町道佛５９５　フードスクエア宮代店１Ｆ,0台
ヨークマート柳崎,埼玉県川口市柳崎５−１−３５　玩具売場,0台
ヨークマート越谷赤山,埼玉県越谷市赤山町５−８−３９　玩具売場,0台
プラサカプコン羽生,埼玉県羽生市川崎２−２８１−３　イオンモール羽生２Ｆ,0台
プリズムストーン プリパラショップ 熊谷店,埼玉県熊谷市銀座２丁目２４５ ニットーモール 4F,0台
ＭＥＧＡドン・キホーテ蓮田,埼玉県蓮田市東４−５−１３,0台
エディオンららぽーと新三郷,埼玉県三郷市新三郷ららシティ３丁目１−１　ららぽーと新三郷２Ｆ,0台
アピタ本庄,埼玉県本庄氏南１-２-１０,0台
Ｆｏｒｋｉｄｓ’川口,埼玉県川口市栄町３−５−１そごう川口店　７Ｆ,0台
ＡＭＰＩＡ川口,埼玉県川口市栄町３−１−１６イート川口ビル４階,0台
宝島浦和美園,埼玉県さいたま市緑区美園５−５０−１イオンモール浦和美園２Ｆ,0台
ダイエー南浦和東口,埼玉県さいたま市南区南浦和３−２−１　玩具売場,0台
ファイヤーボールレイクタウン,埼玉県越谷市レイクタウン３−１−１イオンレイクタウンｍｏｒｉ３Ｆ,0台
トイザらス岩槻,埼玉県さいたま市岩槻区城町２−６−２８,0台
アピタ岩槻,埼玉県さいたま市岩槻区大字大口８００　玩具売場,0台
トイザらス草加,埼玉県草加市清門町字北４０１−１　セーモンプラザ２Ｆ,0台
ニコパ草加舎人,埼玉県草加市遊馬町２−１　島忠ホームズ草加舎人店　１Ｆ,0台
おもちゃのアポロ,埼玉県八潮市中央３−２１−４,0台
にこぱエムズタウン幸手,埼玉県幸手市上高野７６４　エムズタウン幸手,0台
Ｆｏｒｋｉｄｓ’菖蒲,埼玉県久喜市菖蒲町菖蒲６００５番地１モラージュ菖蒲内,0台
龍宮ガーデンアリオ上尾,埼玉県上尾市大字壱丁目３６７番地　アリオ上尾店内２階,0台
ピアゴ大桑,埼玉県加須市鳩山町１０番地１０　　玩具売場,0台
イトーヨーカドー上福岡東,埼玉県ふじみ野市大原２−１−３０玩具売場,0台
マルエツ朝霞,埼玉県朝霞市本町１−１２−１０　玩具売場,0台
トイザらス新座,埼玉県新座市野火止５−２−６０　ラ・ウ゛ィニュ２Ｆ,0台
ＴＨＥ３ＲＤＰＬＡＮＥＴフレスポ八潮,埼玉県八潮市大瀬８２２番地１　フレスポ八潮３Ｆ,0台
トイザらス越谷,埼玉県越谷市大字上間久里３０８−１,0台
アピタ吹上,埼玉県鴻巣市袋９０−１　玩具売場,0台
アピタ東松山,埼玉県東松山市あずま町４−３　玩具売場,0台
こころっこ北本,埼玉県北本市深井６−８７　Ｈｅｙ　Ｗｏｒｌｄ店内プレビプレイランドコーナー　こころっこ,0台
あひるのたまご所沢山口,埼玉県所沢市小手指台２３−１　マミーマート所沢山口店内プレインランドコーナー　ジャンボリー,0台
トイザらス所沢,埼玉県所沢市北原町１４０４,0台
西友小手指,埼玉県所沢市小手指町１−２５−８　玩具売場,0台
トイザらス入間,埼玉県入間市豊岡２−１−１,0台
トイザらス桶川,埼玉県桶川市西２−９−３６,0台
ハローズパシオス秩父,埼玉県秩父市永田町１０−２７,0台
ハローズガーデンワカバウォーク,埼玉県鶴ケ島市富士見１−２−１ワカバウォーク北棟２階,0台
ハローズガーデン本庄,埼玉県本庄市南１−２−１０アピタ本庄店１階,0台
ハローズガーデン深谷,埼玉県深谷市上紫町西４−２−１４アリオ深谷店２階,0台
レジャーランド春日部,埼玉県春日部市大字増富字谷際１６３−１,0台
イトーヨーカドーアリオ川口,埼玉県川口市並木元町１−７９玩具売場,0台
イトーヨーカドー新田,埼玉県草加市旭町６−１５−３０玩具売場,0台
イトーヨーカドー草加,埼玉県草加市高砂２−７−１玩具売場,0台
イトーヨーカドー三郷,埼玉県三郷市天神２−２２玩具売場,0台
イトーヨーカドー春日部,埼玉県春日部市中央１−１３−１玩具売場,0台
イトーヨーカドー浦和,埼玉県さいたま市浦和区仲町１−７−１玩具売場,0台
イトーヨーカドー大宮宮原,埼玉県さいたま市北区宮原町１−８５４−１玩具売場,0台
イトーヨーカドー和光,埼玉県和光市丸山台１−９−３玩具売場,0台
イトーヨーカドー錦町,埼玉県蕨市錦町１−１２−１玩具売場,0台
イトーヨーカドーアリオ鷲宮,埼玉県久喜市久本寺谷田７番地１玩具売場,0台
イトーヨーカドー久喜,埼玉県久喜市中央４−９−１１玩具売場,0台
タイトーステーション大宮,埼玉県さいたま市大宮区大門町１−１,0台
ＦＥＳＴＡ上尾,埼玉県上尾市愛宕３丁目１−４０　バリュープラザ上尾愛宕店内,0台
イトーヨーカドーアリオ上尾,埼玉県上尾市大字壱丁目３６７玩具売場,0台
イトーヨーカドー上尾駅前,埼玉県上尾市谷津２−１−１玩具売場,0台
ＡＧスクエア埼玉花園,埼玉県深谷市荒川３５９,0台
