店名,住所,台数
ヤマダ電機ＬＡＢＩ１なんば,大阪府大阪市浪速区難波中２−１１−３５,0台
モーリーファンタジー古川橋駅前,大阪府門真市末広町４１−２,0台
モーリーファンタジーおおとり,大阪府堺市西区鳳東町７−７３３　おおとりウイングス２Ｆ,0台
ヤマダ電機ＬＡＢＩ千里,大阪府豊中市新千里東町１−２−２０,0台
ＰＡＬＯ京橋,大阪府大阪市都島区片町２−３−５１　ダイエー京橋店２・３Ｆ,0台
モーリーファンタジー大日,大阪府守口市大日東町１番１８号イオン２Ｆ,0台
モーリーファンタジー鶴見緑地,大阪府大阪市鶴見区鶴見４丁目１７−１イオン３Ｆ,0台
ジョーシン大東,大阪府大東市新田旭町２−８,0台
モーリーファンタジー茨木,大阪府茨木市松ヶ本町８−３０−５　イオンＳＣ３Ｆ,0台
トイザらス藤井寺,大阪府藤井寺市岡２−８−４１　ソリヤ２Ｆ,0台
ヤマダ電機テックランド豊中,大阪府豊中市庄内東町２−７−１０,0台
西友上野芝,大阪府堺市西区上野芝２−７−３　玩具売場,0台
エディオン中環東大阪,大阪府大阪市稲田三島町３−８８,0台
イズミヤ上新庄,大阪府大阪市東淀川区上新庄１−２−３６,0台
モーリーファンタジー吹田,大阪府吹田市朝日町２−１０１,0台
トイザらス茨木,大阪府茨木市藤の里１−７−４１　茨木ショッピングプラザ１Ｆ,0台
モーリーファンタジー池田駅前,大阪府池田市満寿美町２−２,0台
ライフ巽,大阪府大阪市生野区巽中１−２２−２　玩具売場,0台
モーリーファンタジー堺北花田,大阪府堺市北区東浅香山町４−１−１２イオン２Ｆ,0台
セガニトリモール枚方,大阪府枚方市北山１丁目２番１号,0台
イオン大日,大阪府守口市大日東町１−１８玩具売場,0台
モーリーファンタジー摂津富田,大阪府高槻市大畑町１３−１　　　　　　　　　　ダイエー摂津富田店２Ｆ,0台
わくわくアミーゴ尾崎,大阪府阪南市下出１６７−１　オークワわくわくＣＩＴＹ尾　崎店２Ｆ,0台
ふぇすたらんど東大阪,大阪府東大阪市西岩田３−２−３山陽マルナカ東大阪店２階,0台
セガワールド布施,大阪府東大阪市長堂１−１−１　ロンモール布施内,0台
