店名,住所,台数
モーリーファンタジー天童,山形県天童市芳賀土地区画整理事業地内３４街区　イオン３Ｆ,0台
モーリーファンタジー山形南,山形県山形市若宮３−７−８　イオン２Ｆ,0台
イオン山形北,山形県山形市馬見ケ崎２−１２−１９玩具売場,0台
モーリーファンタジー米沢,山形県米沢市春日２−１３−４　　イオン２Ｆ,0台
モーリーファンタジー酒田南,山形県酒田市あきほ町１２０−１イオン１Ｆ,0台
アピナ鶴岡,山形県鶴岡市文下字広野１−１,0台
モーリーファンタジー山形北,山形県山形市馬見ケ崎２−１２−１９イオン２Ｆ,0台
ビーカム成沢,山形県山形市成沢西５−３−２７,0台
わくわくランド中山,山形県東村山郡中山町大字長崎新町３０３０−１ヤマザワ中山店内,0台
わくわくランド寒河江西,山形県寒河江市中郷字角田１６００番ヤマザワ寒河江西店内,0台
わくわくランド新庄,山形県新庄市金沢字大道上２０３３−４,0台
モーリーファンタジー東根,山形県東根市さくらんぼ駅前３丁目７番１５号,0台
ＳＯＹＵＧａｍｅＦｉｅｌｄ天童,山形県天童市芳賀土地区画整理事業地内３４街区　イオンモール天童２階,0台
モーリーファンタジー三川,山形県東田川郡三川町大字猪子字和田庫１２８−１　イオン２Ｆ,0台
イオン三川,山形県東田川郡三川町大字猪子字和田庫１２８−１玩具売場,0台
イオン山形南,山形県山形市若宮３−７−８玩具売場,0台
イオン酒田南,山形県酒田市あきほ町１２０−１玩具売場,0台
イオン東根,山形県東根市さくらんぼ駅前３丁目７番１５号,0台
イオン米沢,山形県米沢市春日２−１３−４玩具売場,0台
