店名,住所,台数
モーリーファンタジー甲府昭和,山梨県中巨摩郡昭和町飯喰１５０５−１イオン甲府昭和店３階,0台
アピタ田富,山梨県中央市山之神１３８３−９　玩具売場,0台
富士急百貨店,山梨県富士吉田市上吉田２−５−１　玩具売り場,0台
イトーヨーカドー甲府昭和,山梨県中巨摩郡昭和町西条１３−１玩具売場,0台
アピタ双葉,山梨県甲斐市志田字柿木６４５−１番地　玩具売場,0台
アピタ石和,山梨県笛吹市石和町窪中島１５４番地　玩具売場,0台
モーリーファンタジー石和,山梨県笛吹市石和町駅前１６−１イオン３Ｆ,0台
タイトーＦステーションラザウォーク甲斐双葉,山梨県甲斐市志田字柿木６１６−１,0台
イオン甲府昭和,山梨県中巨摩郡昭和町飯喰１５０５−１,0台
イオン石和,山梨県笛吹市石和町駅前１６−１玩具売場,0台
イオン大月,山梨県大月市御太刀１−１３−２９　玩具売場,0台
ハローズガーデン田富,山梨県中央市山之神１３８３−９アピタ田富店　２Ｆ,0台
楽市楽座イオンモール甲府,山梨県中巨摩郡昭和町飯喰１５０５−１イオンモール甲府昭和２０１１,0台
ハローズガーデン石和,山梨県笛吹市石和町窪中島１５４アピタ石和店２Ｆ,0台
モーリーファンタジー湯村,山梨県甲府市千塚１−９−１４,0台
