店名,住所,台数
ピアゴ恵那,岐阜県恵那市長島町正家二丁目２番地１７　玩具売場,0台
アピタ各務原,岐阜県各務原市鵜沼各務原町８丁目７番地　玩具売場,0台
ピアゴ多治見,岐阜県多治見市住吉町三丁目１９番地の１　玩具売場,0台
アピタ大垣,岐阜県大垣市林町六丁目８０番２１号　玩具売場,0台
アル・プラザ大野,岐阜県揖斐郡大野町大字黒野字上柿木１２−１　玩具売場,0台
ハローズ萩原,岐阜県下呂市萩原町大字花池字川原１６４−１　バロー萩原店,0台
イオン各務原,岐阜県各務原市那加萱場町３−８玩具売場,0台
ピアゴ笠松,岐阜県羽島郡笠松町米野字西起５９番地１玩具売場,0台
プレビ　Ｖタウン芥見,岐阜県岐阜市芥見南山２−１−８　Ｖタウン芥見店内　プレビプレイランドコーナー,0台
モーリーファンタジー大垣,岐阜県大垣市外野２丁目１００番　イオン２Ｆ,0台
モーリーファンタジー岐阜,岐阜県岐阜市正木中１−２−１　　マーサ２１　北館　３Ｆイオン岐阜３Ｆ,0台
レイク・リビン可児,岐阜県可児市下恵土５７５０玩具売り場,0台
バローランド羽島,岐阜県羽島市江吉良町２９３９バロー羽島インター店１Ｆ,0台
ＮＩＣＯＰＡ羽島ウイング,岐阜県羽島市小熊町島１丁目４６番地,0台
アピタ中津川,岐阜県中津川市淀川町３番８号　玩具売場,0台
ピアゴ瑞浪,岐阜県瑞浪市薬師町二丁目７２番地　玩具売場,0台
アピタ御嵩,岐阜県可児郡御嵩町上恵土字西畑１０５２ばん１　玩具売場,0台
平和堂大野,岐阜県揖斐郡大野町大字黒野字上柿木１２−１　玩具売場,0台
アピタ岐阜,岐阜県岐阜市加納神明町６丁目１番地　玩具売場,0台
平和堂高富,岐阜県山県市高木１４７３　玩具売場,0台
モーリーファンタジー各務原,岐阜県各務原市那加萱場町３−８　イオンモール３Ｆ,0台
アピタ美濃加茂,岐阜県美濃加茂市野笹町２丁目５番６５号　玩具売場,0台
イトーヨーカドー柳津,岐阜県岐阜市柳津町丸野３−３−６玩具売場,0台
アピタ飛騨高山,岐阜県高山市国府町金桶４１番地　玩具売場,0台
イオン大垣,岐阜県大垣市外野２−１００玩具売場,0台
にこぱアクアウォーク大垣,岐阜県大垣市林町６丁目８０番２１,0台
アル・プラザ鶴見,岐阜県大垣市鶴見町字上渡瀬６４１−２　玩具売場,0台
アピタ北方,岐阜県本巣郡北方町平成２丁目３番地　玩具売場,0台
モーリーファンタジー岐阜（２Ｆ）,岐阜県岐阜市正木中１丁目２番１号イオン岐阜店２階,0台
モーリーファンタジー関,岐阜県関市倉知５１６　サンサンシティ・マーゴ　イオン１Ｆ,0台
セガワールドアクアウォーク大垣,岐阜県大垣市林町６−８０−２１,0台
イオン関,岐阜県関市倉知５１６　サンサンシティ・マーゴ　イオン１Ｆ玩具売場,0台
トイザらス・ベビーザラス各務原,岐阜県各務原市那珂萱場町３−８イオンモール各務原３Ｆ,0台
カラフルパーク大垣,岐阜県大垣市三塚町丹瀬４６３−１イオンタウン大垣１Ｆ,0台
モーリーファンタジー多治見,岐阜県多治見市西坂町５−３１−１,0台
レイク・リビン海津平田,岐阜県海津市平田町今尾１６１７　玩具売場,0台
セガマーゴ関,岐阜県関市倉知５１６番地,0台
ヨシヅヤ新垂井,岐阜県不破郡垂井町表佐字大持野５５−１,0台
ちゃおらんどバロー高山,岐阜県高山市岡本町３丁目１８−２バロー高山店２階,0台
ちゃおらんどバロー多治見,岐阜県多治見市若松町１丁目３４バロー多治見店２階,0台
ピアゴ関,岐阜県関市片倉町１番地の３玩具売場,0台
ピアゴ長良,岐阜県岐阜市福光東１丁目２６番７号,0台
