店名,住所,台数
タイトーステーション広島本通,広島県広島市中区本通３−５,0台
エディオンアルパーク南,広島県広島市西区商工センター２−５−１,0台
エディオン廿日市,広島県廿日市市新宮１−９−３４,0台
トイザらス福山,広島県福山市東深津町３−２１−４,0台
セガLECT広島,広島県広島市西区扇町2-1-45,0台
ペリカン東広島,広島県東広島市西条町土与丸１−５−７ゆめタウン東広島内４Ｆ,0台
イオン宇品,広島県広島市南区宇品東６−１−１５,0台
アミューズメント１４１メリーゴーランド温品,広島県広島市東区温品１丁目３−２フォレオ広島東２階,0台
フジ庚午,広島県広島市西区庚午南１−３２−４８,0台
タイトーステーション広島紙屋町,広島県広島市中区紙屋町２丁目２?２１,0台
メリーゴーランド神辺,広島県福山市神辺町新湯野２−３０−４アクト神辺１階,0台
ペリカン呉,広島県呉市宝町５−１０ゆめタウン呉内３Ｆ　玩具売場,0台
トイザらス広島宇品,広島県広島市南区宇品西２１６−５１　ベイシティ宇品２Ｆ,0台
フジグラン安芸,広島県安芸郡坂町北新地２丁目３−３０　玩具売場,0台
トイザらスベビーザらス広島府中,広島県安芸郡府中町大須２−１−１　イオンモール広島府中３Ｆ,0台
ヤマダ電機ＬＡＢＩ広島,広島県広島市中区胡町５−２２,0台
ヤマダ電機テックランド佐伯,広島県広島市佐伯区楽々園四丁目１４−３２,0台
フジグラン高陽,広島県広島市安佐北区亀崎一丁目１番６号　玩具売場,0台
フジグラン緑井,広島県広島市安佐南区緑井１−５−２　玩具売場,0台
フジグラン三原,広島県三原市円一町１−１−７　玩具売場,0台
モーリーファンタジー三原,広島県三原市城町２−１３−１イオン２Ｆ,0台
モーリーファンタジー広島府中,広島県安芸郡府中町大須２−１−１イオン２Ｆ,0台
ヤマダ電機テックランド福山西,広島県福山市高西町三丁目２番３８号,0台
フジグラン神辺,広島県福山市神辺町大字新道上字２−１０−２６玩具売場,0台
ペリカン大竹,広島県大竹市晴海１−６−１ゆめタウン大竹内２Ｆ　玩具売場,0台
福山メトロポリス,広島県福山市一文字町２４−１,0台
イトーヨーカドー福山,広島県福山市入船町３−１−６０玩具売場,0台
モーリーファンタジー尾道,広島県尾道市天満町１７−２３イオン２Ｆ,0台
ゆめタウン廿日市,広島県廿日市市下平良二丁目２−１,0台
ふぇすたらんど五日市,広島県広島市佐伯区八幡１−２４−１７　サンリブ五日市店内,0台
モーリーファンタジー・ｆ広島祇園,広島県広島市安佐南区祇園３丁目２−１　イオンＳＣ３Ｆ,0台
こころっこアルパーク広島,広島県広島市西区井口明神　１丁目１６番１号アルパーク天満屋４Ｆ,0台
モーリーファンタジー宇品,広島県広島市南区宇品東６−１−１５イオン２Ｆ,0台
モーリーファンタジー広島祇園,広島県広島市安佐南区祇園３丁目２−１イオン３Ｆ,0台
アミパラ広島,広島県広島市西区西観音町３−１７,0台
イオン広島府中,広島県安芸郡府中町大須２−１−１玩具売場,0台
イオン三原,広島県三原市城町２−１３−１玩具売場,0台
イオン広島祇園,広島県広島市安佐南区祇園３−２−１玩具売場,0台
フジグラン東広島,広島県東広島市西条町御薗宇４４０５　玩具売場,0台
あみぱらんど福山,広島県福山市三吉町南２−８−２４,0台
エディオン広島本店,広島県広島市中区紙屋町２−１−１８,0台
ペリカン江田島,広島県江田島市大柿町飛渡瀬１８０　玩具売場,0台
ハローズ大門,広島県福山市大門町２−２２−４３,0台
ミスターマックス八本松,広島県広島市八本松西１−１２−２３,0台
そごう広島,広島県広島市中区基町６−２７そごう　広島店　６Ｆ玩具売場,0台
セガワールド福山,広島県福山市瀬戸町大字山北３００,0台
セガ海田,広島県安芸郡海田町南大正町３−３５,0台
ビックカメラ広島駅前,広島県広島市南区松原町５−１,0台
楽市楽座広島,広島県広島市南区段原南１−３−５２広島段原ショッピングセンター７階,0台
わいわい王国メリーゴーランド楽々園,広島県広島市佐伯区楽々園４丁目１４−１ナイスデイ２階,0台
娯楽座メリーゴーランド高陽,広島県広島市安佐北区口田４丁目６−３２マックスバリュ高陽店３階,0台
ミスターマックス新神辺,広島県福山市神辺町川１５３３,0台
フジグラン尾道,広島県尾道市東尾道１９−７　玩具売場,0台
フジグラン広島,広島県広島市中区宝町２−１　玩具売場,0台
ゆめタウン学園,広島県東広島市西条下見６丁目２−３２　玩具売場,0台
