店名,住所,台数
ビックカメラ名古屋駅西,愛知県名古屋市中村区椿町６−９　トイズコーナー,0台
モーリーファンタジー豊橋南,愛知県豊橋市野依町字落合１−１２　イオン２Ｆ,0台
モーリーファンタジー大高,愛知県名古屋市緑区大高町字奥平子１−１　イオン３Ｆ,0台
アピタ緑,愛知県名古屋市緑区徳重二丁目２０１番地　玩具売場,0台
豊川メトロポリス,愛知県豊川市下長山町上アライ１４−１,0台
アピタ高蔵寺,愛知県春日井市中央台２丁目５番地　玩具売場,0台
アピタ西尾,愛知県西尾市高畠町３丁目２３−９　玩具売場,0台
モーリーファンタジー半田,愛知県半田市有楽町８−７イオン２Ｆ,0台
モーリーファンタジー名古屋みなと,愛知県名古屋市港区品川町２−１−６　イオン３Ｆ,0台
モーリーファンタジー熱田,愛知県名古屋市熱田区六野一丁目２番１１号　イオン２Ｆ,0台
ピアゴ幸田,愛知県額田郡幸田町大草山添１７０番地　玩具売場,0台
アピタ東海通,愛知県名古屋市港区港明１丁目１０番２８号　玩具売場,0台
モーリーファンタジー名古屋茶屋,愛知県名古屋市港区西茶屋２丁目１１イオン３Ｆ,0台
アピタ名北,愛知県名古屋市北区辻町９丁目１番地　玩具売場,0台
エディオン豊田大林,愛知県豊田市大林町８−５４−２,0台
ヤマダ電機ＬＡＢＩ名古屋,愛知県名古屋市中村区名駅１−２−５　玩具売場,0台
ピアゴ東栄,愛知県安城市東栄町５丁目２０番地１　玩具売場,0台
アピタ安城南,愛知県安城市桜井町貝戸尻６０番地　玩具売場,0台
カラフルパークイオン千種,愛知県名古屋市千種区千種２−１６−１３イオン千種ＳＣ２Ｆ,0台
安城メトロポリス,愛知県安城市浜富町６−８,0台
レイク・リビン清洲,愛知県清須市西市場５丁目５−３玩具売場,0台
イオン上飯田,愛知県名古屋市北区織部町１玩具売場,0台
イトーヨーカドー刈谷,愛知県刈谷市高倉町２６０１玩具売場,0台
モーリーファンタジー三好,愛知県みよし市三好町青木９１番地　イオン２Ｆ,0台
モーリーファンタジー扶桑,愛知県丹羽郡扶桑町大字南山名字高塚５−１　イオン２Ｆ,0台
セガイオンタウン名西,愛知県名古屋市西区香呑町六丁目４９−１,0台
モーリーファンタジー東浦,愛知県知多郡東浦町大字緒川字申新田二区６７−８イオン１Ｆ,0台
サムソン半田,愛知県半田市乙川吉野町９番地パワードーム半田Ｂ１Ｆ,0台
サムソンみなと,愛知県名古屋市港区当知２−１５０１ポートウォークみなと２Ｆ,0台
モーリーファンタジー南陽,愛知県名古屋市港区春田野１−３３０イオン３Ｆ,0台
イオン半田,愛知県半田市有楽町８−７玩具売場,0台
セガイオンタウン刈谷,愛知県刈谷市東境町京和１,0台
イオン小牧,愛知県小牧市東１−１２６玩具売場,0台
モーリーファンタジー守山,愛知県名古屋市守山区笹ヶ根３−１２２８イオン２Ｆ,0台
モーリーファンタジー常滑,愛知県常滑市りんくう町２丁目２０番３　イオンスタイル２Ｆ,0台
ユーズランド東浦,愛知県知多郡東浦町緒川申新田二区６７−８　イオンモール東浦２Ｆ,0台
モーリーファンタジー・ｆ新瑞橋,愛知県名古屋市南区菊住１丁目７−１０　イオンモール３Ｆ,0台
トヨタ生協藤岡,愛知県西加茂郡藤岡町西中山字道貝１０１,0台
プラサカプコン稲沢,愛知県稲沢市下津町地内尾張西部郡都市拠点地区１３街区　リーフフォーク稲沢２０１区画,0台
レイク・リビン津島本店,愛知県津島市大字津島字北新開３５１番地　玩具売場,0台
モーリーファンタジー木曽川,愛知県一宮市木曽川町黒田字南八ツヶ池２５−１　イオン２Ｆ,0台
サムソン千代田橋,愛知県名古屋市千種区千代田橋２−１−１アピタ千代田橋３Ｆ,0台
タワーレコード名古屋近鉄パッセ,愛知県名古屋市中村区名駅１−２−２近鉄パッセ９Ｆ,0台
プラサカプコン徳重,愛知県名古屋市緑区鳴海町字徳重１８番地４４ヒルズウォーク徳重ガーデンズガーデンズ棟2F,0台
モーリーファンタジー瀬戸みずの,愛知県瀬戸市みずの坂２丁目２５３番地　イオン２Ｆ,0台
モーリーファンタジーナゴヤドーム前,愛知県名古屋市東区矢田南４丁目１０２番地の３イオン３Ｆ,0台
モーリーファンタジー豊川,愛知県豊川市開運通り２−３１　　イオン２Ｆ,0台
ピアゴ新城,愛知県新城市字的場２５番地の１１　玩具売場,0台
モーリーファンタジー長久手,愛知県長久手市長久手中央イオン３Ｆ,0台
プリズムストーン　プリパラショップ　名古屋店,愛知県名古屋市中区栄三丁目３番１号　丸栄　２Ｆ,0台
レイク・リビン太平通り,愛知県名古屋市中川区宮脇町２丁目１１番地玩具売場,0台
トイザらス木曽川,愛知県一宮市木曽川町黒田字南八ツケ池２５−１　イオンモール木曽川１Ｆ,0台
ピアゴ伝法寺,愛知県一宮市丹陽町伝法寺字中東畑１９４３番地　玩具売場,0台
イトーヨーカドー安城,愛知県安城市住吉町３−１−８玩具売場,0台
トヨタ生協本店,愛知県豊田市山之手８−９２,0台
ピアゴ太田川,愛知県東海市大田町下浜田１０２？１　玩具売場,0台
ピアゴ井ヶ谷,愛知県刈谷市井ヶ谷町下前田３５番地１　玩具売場,0台
レイク・リビン師勝,愛知県北名古屋市師勝町大字鹿田１９２９玩具売場,0台
アピタ刈谷,愛知県刈谷市南桜町２丁目５６番１号　玩具売場,0台
アピタ一宮,愛知県一宮市両郷町１丁目６番地　玩具売場,0台
アピタ鳴海,愛知県名古屋市緑区鳴海町伝治山３番地９　玩具売場,0台
ピアゴ豊明,愛知県豊明市三崎町井ノ花５番地の１　玩具売場,0台
アピタ豊田元町,愛知県豊田市土橋町２丁目６５番地　玩具売場,0台
イトーヨーカドー知多,愛知県知多市新知東町１−１０−１玩具売場,0台
カラフルパークイオン有松,愛知県名古屋市緑区鳴海町字有松裏２００番地イオンタウン有松１Ｆ,0台
トイザらス名古屋みなと,愛知県名古屋市港区砂美町１−５　ニトリみなとＳＣ２Ｆ,0台
トイザらス高蔵寺ニュータウン,愛知県春日井市中央台１−１−２　高蔵寺センター内,0台
アピタ知立,愛知県知立市長篠町大山１８番地の１　玩具売場,0台
ファンタジーウエストタウン西尾,愛知県西尾市高畠町３−２３−９ヴェルサウォーク西尾店３階,0台
トイザらス岡崎,愛知県岡崎市大平町字石丸３８,0台
アピタ小牧,愛知県小牧市堀の内３丁目１５番地　玩具売場,0台
アピタ大口,愛知県丹羽郡大口町丸２丁目３６番地　玩具売場,0台
ピアゴ尾西,愛知県一宮市小信中島東鵯平５９,0台
アピタ蒲郡,愛知県蒲郡市港町１７番１０号　玩具売場,0台
モーリーファンタジーワンダーシティ,愛知県名古屋市西区二方町４０　イオン３Ｆ,0台
平和堂江南,愛知県江南市上奈良町栄６１−３　玩具売場,0台
にこぱエルエルタウン岡崎,愛知県岡崎市上和田町南天白５−１エルエルタウン岡崎店,0台
ピアゴ大和,愛知県一宮市大和町毛受字一本松１９番地　玩具売場,0台
