店名,住所,台数
タイトーＦステーション　ダイエー武蔵村山,東京都武蔵村山市伊奈平３−３６−１　ダイエー武蔵村山店２階,0台
Ｈｅｙ,東京都千代田区外神田１−１０−５広瀬本社ビル２Ｆ,0台
ライフ篠崎,東京都江戸川区篠崎町７−２７−１玩具売場,0台
モーリーファンタジー西台,東京都板橋区蓮根３−８−１２,0台
ヤマダ電機テックランド錦糸町,東京都墨田区太平４−１−５−２Ｆ,0台
ライフ東尾久,東京都荒川区東尾久６−１８−１０,0台
ヤマダ電機ＬＡＢＩ渋谷,東京都渋谷区道玄坂２丁目２９番２０,0台
タイトーステーション新宿南口ゲームワールド,東京都新宿区新宿３−３５−８,0台
ポップンパーク本羽田萩中,東京都大田区本羽田萩中２丁目３−１,0台
セガ東京ドームシティ,東京都文京区後楽１−３−６１,0台
ＰＡＬＯ聖蹟桜ヶ丘,東京都多摩市関戸４−７２,0台
モーリーファンタジー多摩平の森,東京都日野市多摩平２−４−１,0台
タイトーステーション渋谷,東京都渋谷区渋谷１−２４−１２渋谷東映プラザ,0台
セガ秋葉原１号館,東京都千代田区外神田１−１０−９,0台
モーリーファンタジー品川シーサイド,東京都品川区東品川４丁目１２−５イオン２Ｆ,0台
池袋ＧＩＧＯ,東京都豊島区東池袋１−２１−１,0台
ＰＡＬＯ成増,東京都板橋区成増２−２１−２　　　　　　　　　ダイエー成増店４Ｆ,0台
ダイエー船堀,東京都江戸川区船堀１−１−５１,0台
モーリーファンタジー大島,東京都江東区大島４−６−１,0台
ＴＨＥ３ＲＤＰＬＡＮＥＴ多摩センター,東京都多摩市落合１−３９−２　マグレブビル２Ｆ・３Ｆ,0台
ビックカメラ渋谷東口,東京都渋谷区渋谷１−２４−１２　５Ｆ,0台
アドアーズ中野,東京都中野区中野５−５２−１５ブロードウェイ１８５,0台
タイトーＦステーション西葛西,東京都江戸川区西葛西６−６−１０,0台
プリズムストーンプリパラショップ　コトブキヤ立川店,東京都立川市緑町４−５壽屋ビル１階,0台
ボークス秋葉原ホビー天国,東京都千代田区外神田１−１５−４,0台
モーリーファンタジー南砂,東京都江東区南砂６−７−１５イオン３Ｆ,0台
イオンリテールストア板橋前野町,東京都板橋区前野町４−２１−２２,0台
プラサカプコン吉祥寺,東京都武蔵野市吉祥寺本町１−１０−１　いなりやビルＢ１Ｆ,0台
ＳＯＹＵＺＡＵＲＵＳＷＯＲＬＤ大森,東京都大田区大森北二丁目１３−１　イトーヨーカドー大森店３Ｆ,0台
タワーレコード新宿,東京都新宿区新宿３−３７−１フラッグス　７Ｆ　−　１０Ｆ,0台
ソユープレイランドソピア南大沢,東京都八王子市南大沢二丁目２８−１　イトーヨーカドー南大沢店３Ｆ,0台
ヨークマート栗原,東京都足立区栗原４−１６−１　玩具売場,0台
プリズムストーン　プリパラショップ　原宿店,東京都渋谷区神宮前３−１８−２７　１Ｆ,0台
ＡＭサントロペ池袋,東京都豊島区東池袋１−２９　サントロペビル２階,0台
ヤマダ電機ＬＡＢＩ１日本総本店池袋,東京都豊島区東池袋１−５−７,0台
ビックカメラ池袋本店,東京都豊島区東池袋1−41−5　5F,0台
プリズムストーン　プリパラショップ　新宿店,東京都新宿区新宿３−２４−３　新宿アルタ　５Ｆ　　アニメガ新宿アルタ店内,0台
モーリーファンタジーむさし村山,東京都武蔵村山市榎１丁目１番３号イオン３Ｆ,0台
