店名,住所,台数
セガ西那須野,栃木県那須塩原市南郷屋２−１０６−２７,0台
タイトーステーション宇都宮ベルモール,栃木県宇都宮市陽東６丁目２−１,0台
テクモピアパルテノン宇都宮,栃木県宇都宮市今泉町２３７　福田屋ショッピングプラザ宇都宮店２Ｆ,0台
テクモピアロックダムインターパーク,栃木県宇都宮市インターパーク６−１−１ＦＫＤショピングモールインターパーク店２階,0台
テクモピア鹿沼,栃木県鹿沼市東末広町１０７３　福田屋鹿沼店３階,0台
トイザらス佐野,栃木県佐野市高萩町１３２４−１　イオン佐野新都市ショッピングセンター２Ｆ,0台
トイセルタウンおもちゃのまち本店,栃木県下都賀郡壬生町おもちゃのまち１−２−２０,0台
ＰＡＬＯ石橋,栃木県下野市下古山３３６２−１,0台
アピタ宇都宮,栃木県宇都宮市江曽島本町２２−７　玩具売場,0台
フェドラ佐野,栃木県佐野市高萩町１３４０,0台
モーリーファンタジーさくら,栃木県さくら市桜野１５５１ザ　ビッグ１Ｆ,0台
モーリーファンタジー今市,栃木県日光市豊田字若林７９−１　イオン２Ｆ,0台
モーリーファンタジー佐野新都市,栃木県佐野市高萩町１３２４−１イオン２Ｆ,0台
モーリーファンタジー小山,栃木県小山市中久喜１４６７−１イオン２Ｆ,0台
モーリーファンタジー真岡,栃木県真岡市台町２６６８ザ　ビッグ１Ｆ,0台
モーリーファンタジー那須塩原,栃木県那須塩原市島方４５５イオンタウン１Ｆ,0台
アピタ足利,栃木県足利市朝倉町２４５　玩具売場,0台
ＰＡＬＯ足利,栃木県足利市朝倉町２−２１−１６ヨークタウン足利店1階,0台
ヨークベニマル西那須野,栃木県那須塩原市西大和１−８　玩具売場,0台
ヨドバシカメラマルチメディア宇都宮,栃木県宇都宮市駅前通り１−４−６　玩具売場,0台
らんらんらんど宇都宮,栃木県宇都宮市睦町５−５スーパーセンタートライアル宇都宮店１Ｆ,0台
アピナ小山,栃木県小山市駅南町４−２７−１８,0台
ＦＫＤインターパーク,栃木県宇都宮市インターパーク６−１−１　２Ｆ　玩具売場,0台
ＦＫＤ宇都宮,栃木県宇都宮市今泉町２３７番地　２Ｆ　玩具売場,0台
ドラマ足利,栃木県足利市朝倉町２４４−１,0台
イオン今市,栃木県日光市豊田７９−１ホビー売り場,0台
イトーヨーカドー宇都宮,栃木県宇都宮市陽東６−２−１玩具売場,0台
イトーヨーカドー小山,栃木県小山市駅東通り２−３−１５玩具売場,0台
ジャンボリー御幸ケ原,栃木県宇都宮市御幸が原５０−１ヨークベニマル御幸が原店内プレビプレイランドコーナー　ジャンボリー,0台
スコナランド宇都宮,栃木県宇都宮市馬場通り２−３−１２　ＭＥＧＡドンキホーテ　ラパークＢ１,0台
セガワールド宇都宮,栃木県宇都宮市東宿郷５−１−７,0台
