店名,住所,台数
モーリーファンタジー南風原,沖縄県島尻郡南風原町字宮平２６４　イオン２Ｆ,0台
モーリーファンタジー那覇,沖縄県那覇市金城５−１０−２イオン３Ｆ,0台
モーリーファンタジー名護,沖縄県名護市字名護見取川原４４７２イオン１Ｆ,0台
サンエーつかざんシティ,沖縄県島尻郡南風原町津嘉山１４７１−２,0台
イオン名護,沖縄県名護市字名護見取川原４４７２　玩具売場,0台
イオン南風原,沖縄県島尻郡南風原町字宮平２６４　玩具売場,0台
イオン北谷,沖縄県北谷町字美浜８−３　玩具売場,0台
イオン具志川,沖縄県うるま市字前原幸崎原３０３番地　玩具売場,0台
トイザらス那覇新都心,沖縄県那覇市おもろまち３−３　あっぷるタウン１Ｆ,0台
イオン那覇,沖縄県那覇市金城５−１０−２　玩具売場,0台
ゲオ西原,沖縄県浦添市当山２丁目２番３号,0台
モーリーファンタジー具志川,沖縄県うるま市前原幸崎原３０３番地イオン２Ｆ,0台
サンエーしおざきシティ,沖縄県糸満市潮崎町２−２　玩具売場,0台
サンエー具志川メインシティ,沖縄県うるま市江洲４５０−１　２Ｆ玩具売場,0台
モーリーファンタジー浦添,沖縄県浦添市城間４−７−１浦添ショッピングセンター３Ｆ,0台
サンエー那覇メインプレイス,沖縄県那覇市おもろまち４−４−９　２Ｆ玩具売場,0台
サンエー豊見城ウイングシティ,沖縄県豊見城市高安２６１−２　２Ｆ玩具売場,0台
モーリーファンタジー北谷,沖縄県中頭郡北谷町字美浜８−３イオン２Ｆ,0台
モーリーファンタジーライカム,沖縄県中頭郡北中城村アワセ土地区画整理事業地内,0台
サンエー石川ショッピングセンター,沖縄県うるま市石川赤崎２−１−１玩具売場,0台
楽市楽座イオンモール沖縄ライカム,沖縄県中頭郡北中城村アワセ土地区画整理事業地内４街区イオンモール沖縄ライカム店４F,0台
モーリーファンタジー糸満,沖縄県糸満市字兼城４００番地サンプラザいとまん店１Ｆ,0台
