店名,住所,台数
モーリーファンタジー直方,福岡県直方市湯野原２丁目１番１号　イオン２Ｆ,0台
イオン小郡,福岡県小郡市大保字弓場１１０玩具売場,0台
イオン戸畑,福岡県北九州市戸畑区汐井町２−２玩具売場,0台
モーリーファンタジー笹丘,福岡県福岡市中央区笹丘１−２８−７４,0台
小倉メトロポリス,福岡県北九州市小倉北区西港町２７−５,0台
モーリーファンタジー福津,福岡県福津市７９３番地　イオン２Ｆ,0台
モーリーファンタジー原,福岡県福岡市早良区原６丁目２７番８号イオン３Ｆ,0台
モーリーファンタジーマリナタウン,福岡県福岡市西区豊浜３−１−１０,0台
タイトーステーション福岡天神,福岡県福岡市中央区天神２−６−３５サザンクロスビル,0台
モーリーファンタジーなかま,福岡県中間市上蓮花寺１-１-１イオン１F,0台
ポップンパーク大木,福岡県三潴郡大木町蛭池１２００番地,0台
モーリーファンタジー大牟田,福岡県大牟田市岬町３−４イオン２Ｆ,0台
モーリーファンタジー福岡伊都,福岡県福岡市西区北原１丁目２番１号　イオンモール３Ｆ,0台
モーリーファンタジー八幡東,福岡県北九州市八幡東区東田３丁目２−１０２　イオン３Ｆ,0台
ＰＡＬＯ博多,福岡県福岡市博多区住吉１−２−２２,0台
タイトーステーションキャナルシティ博多,福岡県福岡市博多区住吉１−２−２２キャナルシティ博多４Ｆ・５Ｆ,0台
タイトーステーションヨドバシ博多,福岡県福岡市博多区博多駅中央街６ー１２,0台
モーリーファンタジー筑後,福岡県筑後市大字上北島字井原口１２５９−１トライアル筑後店１Ｆ,0台
モーリーファンタジー飯塚,福岡県飯塚市大字徳前１−４,0台
プリズムストーン　プリパラショップ　福岡店,福岡県福岡市中央区天神２丁目１１−１　福岡パルコ　西鉄増床部　７Ｆ　アニメガリミテッドストア福岡パルコ店内,0台
ＡＢＣパレード博多,福岡県福岡市東区東浜１−１−１ゆめタウン玩具売場２Ｆ,0台
イオン香椎浜,福岡県福岡市東区香椎浜３−１２−１　玩具売場,0台
イオン筑紫野,福岡県筑紫野市立明寺４３４−１　玩具売場,0台
イオン福岡東,福岡県糟屋郡志免町大字御手洗字高原６　玩具売場,0台
ヤマダ電機テックランド福岡志免本店,福岡県糟屋郡志免町南里五丁目２−１,0台
スーパーセンター大木,福岡県三潴郡大木町蛭池１２００番地　玩具売場,0台
トイザらス大牟田,福岡県大牟田市旭町２２８−１,0台
ペリカン大川,福岡県大川市大字上巻字野口４３０−１ゆめタウン大川内２Ｆ　玩具売場,0台
イオン大野城,福岡県大野城市錦町４−１−１　玩具売場,0台
西友ザ・モール春日,福岡県春日市春日５−１７　玩具売場,0台
トイザらス福岡香椎,福岡県福岡市東区香椎浜３１２−１,0台
イオン原,福岡県福岡市早良区原６−２７−５２　玩具売場,0台
モーリーファンタジー福岡,福岡県糟屋郡粕屋町大字酒殿字老ノ木１９２−１イオン２Ｆ,0台
イオン福津,福岡県福津市７９３（福間駅東地区１００街区１画地）　玩具売場,0台
ペリカン行橋,福岡県行橋市西宮市３丁目８−１ゆめタウン行橋内２Ｆ玩具売場,0台
モーリーファンタジー香椎浜,福岡県福岡市東区香椎浜３−１２−１イオンモール２Ｆ,0台
ヤマダ電機テックランド福岡香椎本店,福岡県遠賀郡遠賀町松の本１−１−１ゆめタウン横賀２Ｆ,0台
