店名,住所,台数
モーリーファンタジー高崎,群馬県高崎市棟高町１４００番地イオン３Ｆ,0台
ヤマダ電機ＬＡＢＩ１高崎,群馬県高崎市栄町１番１号　玩具売場,0台
モーリーファンタジー太田,群馬県太田市石原町８１番地イオン２Ｆ,0台
モーリーファンタジー倉賀野,群馬県高崎市倉賀野町４６９１−１ミスターマックス倉賀野店１Ｆ,0台
ユーズランド太田,群馬県太田市石原町８１番地　イオンモール太田２Ｆ,0台
イオン高崎,群馬県高崎市棟高町１４００玩具売場,0台
ＭＥＧＡドン・キホーテ桐生,群馬県桐生市永楽町５−１０,0台
レジャーランド藤岡,群馬県藤岡市中２００２−１,0台
プレビ劇場ＩＳＥＳＡＫＩ,群馬県伊勢崎市西小保方町３６８　スマーク伊勢崎店内３階,0台
ジョイフル本田千代田,群馬県邑楽郡千代田町萱野８１３−１,0台
アピタ高崎,群馬県高崎市矢中町字渕ノ内６６８−１　玩具売場,0台
こころっこ新田,群馬県太田市新田市野井町５９２−１３　　ニコモール新田店内プレビプレイランドコーナー　こころっこ,0台
トイザらス太田,群馬県太田市飯塚町１９３３−２,0台
ヤマダ電機ＰＣ＆マルチメディア館前橋本店,群馬県前橋市日吉町４−１４−１３　玩具売場,0台
アピタ前橋,群馬県前橋市文京町２−１−１　玩具売場,0台
トイザらス前橋,群馬県前橋市鳥羽町１６４−１,0台
宝島大間々,群馬県みどり市大間々町大間々４０番地　さくらもーる２Ｆ,0台
アピタ伊勢崎東,群馬県伊勢崎市三室町５３３０　玩具売場,0台
ピアゴ藤岡,群馬県藤岡市藤岡４１６−４　玩具売場,0台
トイザらス伊勢崎,群馬県伊勢崎市連取町３０２５−２,0台
イトーヨーカドー伊勢崎,群馬県伊勢崎市連取町１５０７玩具売場,0台
セガワールド沼田,群馬県沼田市下久屋町１１００−１,0台
ユーズランド高崎,群馬県高崎市棟高町１４００番地　イオンモール高崎２Ｆ,0台
モーリーファンタジーミスターマックス伊勢崎,群馬県伊勢崎市宮子町３５５６番地１　ミスターマックス１Ｆ,0台
アピナ太田,群馬県太田市内ヶ島町９０７−１,0台
セガワールド館林,群馬県館林市小桑原町大道西９４９−１,0台
モーリーファンタジーガーデン前橋,群馬県前橋市小屋原町４７２−１ガーデン前橋　１Ｆ,0台
キッズーナ伊勢崎,群馬県伊勢崎市西小保方町３６８　スマーク伊勢崎店内３階,0台
レジャーランド高崎,群馬県高崎市江木町３３３番地１ＡＣＴビル２Ｆ,0台
ＪＯＹＦＵＬ−２新田,群馬県太田市新田市野井町５９２−１３ＪＯＹＦＵＬ−２玩具売場,0台
ハローズガーデン前橋,群馬県前橋市文京町２−１−１アピタけやきウォーク前橋店２階,0台
ミスターマックス伊勢崎,群馬県伊勢崎市宮子町３５５６番地１,0台
ミスターマックス倉賀野,群馬県高崎市倉賀野町４６９１番１号,0台
レジャーランド太田,群馬県太田市西矢島町１６２２,0台
レジャーランド伊勢崎,群馬県伊勢崎市連取町３０６６−１,0台
ハローズガーデン高崎,群馬県高崎市矢中町字渕ノ内６６８−１　アピタ高崎店２Ｆ,0台
セガワールド太田,群馬県太田市西矢島町５７５,0台
