店名,住所,台数
セガワールド上田,長野県上田市大字上田１８４７−１,0台
ＳＯＹＵＧａｍｅＦｉｅｌｄ長野,長野県長野市三輪九丁目４３番２４号　イオンタウン長野三輪２Ｆ,0台
セガ松本,長野県松本市渚１−７−１,0台
タイトーステーションアイシティ２１松本,長野県東筑摩郡山形村７９７７,0台
ＰＡＬＯ佐久,長野県佐久市岩村田６−２ステーションパーク佐久,0台
ＰＡＬＯ諏訪,長野県諏訪市沖田町５−１８ステーションパーク・諏訪１Ｆ・２Ｆ,0台
アピタ伊那,長野県伊那市伊那下川原５１９８番地　玩具売場,0台
ピアゴ飯田駅前,長野県飯田市東和町２丁目３５番地　玩具売場,0台
ファンタジープラザ長野,長野県長野市高田１７５８番地　ＭＥＧＡドン・キホーテ長野店内,0台
アピタ岡谷,長野県岡谷市銀座一丁目１番５号　玩具売場,0台
アピタ高森,長野県下伊那郡高森町山吹４５１５番地　玩具売場,0台
モーリーファンタジー上田,長野県上田市常田２−１２−１８イオン２Ｆ,0台
モーリーファンタジー中野,長野県中野市大字一本木２５２−１イオン２Ｆ,0台
モーリーファンタジー南松本,長野県松本市双葉５−２０イオン２Ｆ,0台
モーリーファンタジー飯田アップルロード,長野県飯田市鼎一色４５６　　イオン２Ｆ,0台
モーリーファンタジー豊科,長野県安曇野市豊科４２７２−１０　　　イオン２Ｆ,0台
アピタ飯田,長野県飯田市鼎名古熊２４６１番地　玩具売場,0台
アピナ伊那,長野県伊那市西町５０９３,0台
アピナ塩尻,長野県塩尻市広丘野村１７９４−１,0台
アピナ佐久インター,長野県佐久市岩村田北１−１３−１,0台
西友川中島,長野県長野市川中島町今井字薬師堂１８１４−１　玩具売場,0台
アピナ上田,長野県上田市秋和３５９−１,0台
アピナ長野川中島,長野県長野市川中島町御厨９６７−１,0台
アピナ長野村山,長野県長野市村山５０２−１,0台
ＴＨＥ３ＲＤＰＬＡＮＥＴ長野大通り店,長野県長野市大字鶴賀権堂町１５０６番地３　長電権堂弟２ビル１階,0台
ＡＧスクエア岡谷,長野県岡谷市塚間町２−１−２１,0台
イオン飯田,長野県飯田市上郷飯沼１５７５玩具売場,0台
ＭＥＧＡドン・キホーテ長野,長野県長野市高田１８５８番地,0台
モーリーファンタジー松本,長野県松本市中央４−９−５１イオンスタイル松本店内３Ｆ,0台
楽市楽座イオンモール松本,長野県松本市中央４−９−５１　イオンモール松本店　風庭２F,0台
イオン佐久平,長野県佐久市佐久平駅南１１−１０玩具売場,0台
イオン上田,長野県上田市常田２−１２−１８　イオン２Ｆ玩具売場,0台
イオン豊科,長野県安曇野市豊科４２７２−１０玩具売場,0台
イトーヨーカドーアリオ上田,長野県上田市天神３−５１玩具売場,0台
イトーヨーカドー長野,長野県長野市権堂町２２０１玩具売場,0台
イトーヨーカドー南松本,長野県松本市高宮中１−２０玩具売場,0台
こどもや諏訪,長野県諏訪市沖田町５−１９　諏訪ステーションパーク内,0台
