店名,住所,台数
タイトーステーション青森ガーラモール,青森県青森市三好２−３−１９,0台
スカロップ弘前,青森県弘前市城東北３−１０−１　さくら野弘前店３Ｆ,0台
青森メトロポリス,青森県青森市三好１−１５−８,0台
ヤマダ電機テックランド八戸,青森県八戸市沼館４−１−８６,0台
イオン青森,青森県青森市緑３−９−２玩具売場,0台
ＰＡＬＯ五所川原,青森県五所川原市大字唐笠柳字藤巻６４１番１アクロスプラザ五所川原,0台
チーノランド八戸,青森県八戸市十三日町１６番地八戸スカイビル６階,0台
モーリーファンタジー平賀,青森県平川市小和森上松岡１９３−１マックスバリュ１Ｆ,0台
トイザらス青森,青森県青森市三好２−３−１１　ガーラタウン,0台
トイザらス八戸,青森県八戸市沼館４−７−１１０,0台
モーリーファンタジーつがる柏,青森県つがる市柏稲盛幾世４１−１イオン１Ｆ,0台
モーリーファンタジー十和田,青森県十和田市大字相坂字六日町山１６６番１ＳｕＣ１Ｆ,0台
モーリーファンタジー藤崎,青森県南津軽郡藤崎町大字西豊田１−７−１　イオン２Ｆ,0台
モーリーファンタジー下田,青森県上北郡おいらせ町中野平４０−１　イオン２Ｆ,0台
イトーヨーカドー八戸沼館,青森県八戸市沼館４−７−１１１玩具売場,0台
イトーヨーカドー青森,青森県青森市浜田１−１４−１玩具売場,0台
イトーヨーカドー弘前,青森県弘前市大字駅前３−２−１玩具売場,0台
イトーヨーカドー五所川原,青森県五所川原市大字唐笠柳字藤巻５１７−１玩具売場,0台
モーリーファンタジー三沢,青森県三沢市松園町３−１０−１　　　　　　　　ビードルプラザ三沢店１Ｆ,0台
モーリーファンタジー八戸田向,青森県八戸市大字田向字毘沙門平２７−１イオン１Ｆ,0台
イオン下田,青森県上北郡おいらせ町中野平４０−１玩具売場,0台
ＰＡＬＯ黒石,青森県黒石市富士見１０３番地３　アクロスプラザ黒石,0台
ＰＡＬＯむつ,青森県むつ市中央２丁目７番８号,0台
セガ弘前,青森県弘前市末広１−３−３,0台
モーリーファンタジー三春屋,青森県八戸市十三日町十三番地三春屋５Ｆ,0台
モーリーファンタジー鶴田,青森県北津軽郡鶴田町大字鶴田字中泉２４５番地１鶴田フットリバーモール店１Ｆ,0台
マエダ本店,青森県むつ市小川町２丁目４−８,0台
ドン・キホーテ八戸,青森県八戸市江陽２−１４−１,0台
ファンタジードーム八戸,青森県八戸市江陽２−１４−１ラピア八戸店別棟,0台
