店名,住所,台数
トイザらス丸亀,香川県丸亀市蓬莱町５６−１　パブリックプラザ丸亀内,0台
トイザらス高松,香川県高松市屋島西町字百石１９１２−１　パワーシティ尾島２Ｆ,0台
ハローズ円座,香川県高松市円座町８４５−３,0台
ハローズ高松春日,香川県高松市春日町１０７２−１,0台
フジグラン丸亀,香川県丸亀市川西町南１２８０−１　玩具売場,0台
フジグラン十川,香川県高松市十川東町５５番地１　玩具売場,0台
ペリカン丸亀,香川県丸亀市新田町１５０ゆめタウン丸亀内３Ｆ　玩具売場,0台
ペリカン高松,香川県高松市三条町字中所６０８−１ゆめタウン高松内２Ｆ玩具売場,0台
ペリカン三豊,香川県三豊市豊中町本山甲２２番地ゆめタウン２Ｆ　玩具売場,0台
ポップンパーク坂出,香川県坂出市江尻町北新開１１６６−１,0台
ポップンパーク豊中,香川県三豊市豊中町本山甲国繋９４４,0台
モーリーファンタジー・ｆ綾川,香川県綾歌郡綾川町萱原８２２−１イオンＳＣ３Ｆ,0台
モーリーファンタジー綾川,香川県綾歌郡綾川町萱原８２２−１　イオン３Ｆ,0台
モーリーファンタジー高松,香川県高松市香西本町１−１イオン３Ｆ,0台
モーリーファンタジー高松東,香川県高松市福岡町３-８-５イオン３F,0台
ヤマダ電機テックランドＮｅｗ高松レインボー通り,香川県高松市伏石町２０８４玩具売場,0台
プリズムストーン　プリパラショップ　高松店,香川県高松市常磐町１−３−１　瓦町ＦＬＡＧ　６Ｆ　アニメガ高松店内,0台
ふぇすたらんど三木,香川県木田郡三木町氷上４８２−２　マルナカ三木店２Ｆ,0台
タイトーステーション丸亀,香川県丸亀市川西町南１２８０番地１　フジグラン丸亀　バッハ棟２Ｆ,0台
イオン綾川,香川県綾歌郡綾川町萱原８２２−１玩具売場,0台
イオン高松,香川県高松市香西本町１−１玩具売場,0台
